Plant_ID,Date,Temperature (°C),Humidity (%),TDS Value (ppm),pH Level,Growth Days
19,9/10/2023,31.1,64,588,6.2,39
58,8/15/2023,23.6,53,581,6.5,13
18,9/5/2023,32.0,60,730,6.5,34
56,8/7/2023,24.2,54,420,6.8,5
56,9/10/2023,23.6,71,569,6.2,39
50,8/26/2023,31.4,58,447,6.3,24
20,9/3/2023,31.7,54,748,6.4,32
68,8/26/2023,22.9,58,702,6.5,24
24,8/11/2023,30.2,70,766,6.0,9
14,9/14/2023,29.1,61,764,6.4,43
45,8/20/2023,30.9,73,675,6.5,18
43,9/10/2023,31.1,55,403,6.4,39
36,9/13/2023,30.4,74,733,6.7,42
52,8/19/2023,21.0,72,754,6.8,17
26,8/12/2023,30.2,50,628,6.5,10
59,8/6/2023,19.5,74,571,6.1,4
24,8/29/2023,29.1,68,748,6.6,27
5,9/8/2023,29.8,65,645,6.3,37
12,9/10/2023,31.1,73,435,6.3,39
30,9/16/2023,31.5,55,628,6.3,45
51,8/12/2023,30.2,80,497,6.4,10
47,8/24/2023,31.3,56,736,6.1,22
52,9/4/2023,21.0,67,619,6.4,33
65,8/10/2023,22.7,55,711,6.5,8
35,9/2/2023,31.7,65,473,6.8,31
63,9/10/2023,21.6,77,677,6.8,39
41,8/23/2023,30.8,53,548,6.1,21
55,8/5/2023,22.9,80,451,6.5,3
18,8/3/2023,33.4,78,623,6.2,1
59,9/1/2023,19.1,50,490,6.5,30
6,9/14/2023,29.1,68,789,6.2,43
12,8/19/2023,30.8,62,742,6.7,17
12,8/20/2023,30.9,70,628,6.7,18
38,9/4/2023,31.7,65,527,6.6,33
58,9/3/2023,21.0,58,641,6.6,32
24,8/9/2023,22.7,64,683,6.2,7
8,8/31/2023,29.2,55,483,6.4,29
23,9/8/2023,29.8,64,640,6.6,37
48,9/6/2023,32.1,71,556,6.1,35
55,8/12/2023,20.7,53,597,6.6,10
15,8/14/2023,30.1,55,770,6.1,12
34,8/8/2023,32.3,63,434,6.3,6
61,8/26/2023,23.4,54,522,6.6,24
64,8/18/2023,22.3,60,433,6.2,16
49,9/9/2023,20.1,57,781,6.2,38
27,8/17/2023,29.6,56,676,6.6,15
45,8/29/2023,28.7,63,517,6.3,27
