Time,Date,Temperature,Humidity,TDS Value,pH Level
19:32,10/02/2023,29.00,81.00,34.01,7.49
19:33,10/02/2023,29.00,80.00,46.80,7.52
19:34,10/02/2023,29.00,80.00,46.80,7.52
19:35,10/02/2023,29.00,79.00,46.80,7.52
19:36,10/02/2023,29.00,79.00,46.80,7.55
19:37,10/02/2023,29.00,79.00,46.80,7.55
19:38,10/02/2023,29.00,79.00,46.80,7.55
19:39,10/02/2023,29.00,79.00,46.80,7.55
19:40,10/02/2023,29.00,79.00,44.99,7.55
19:41,10/02/2023,29.00,78.00,46.80,7.55
19:42,10/02/2023,29.00,78.00,46.80,7.56
19:43,10/03/2023,29.00,78.00,46.80,7.57
19:44,10/03/2023,29.00,78.00,44.99,7.57
19:45,10/03/2023,29.00,77.00,44.99,7.57
19:46,10/03/2023,29.00,78.00,26.60,7.57
19:47,10/03/2023,29.00,78.00,26.60,7.57
19:48,10/03/2023,29.00,78.00,44.99,7.57
19:49,10/03/2023,29.00,77.00,46.80,7.57
19:50,10/03/2023,29.00,77.00,46.80,7.57
19:51,10/03/2023,29.00,77.00,44.99,7.57
19:52,10/03/2023,29.00,77.00,46.80,7.57
19:53,10/03/2023,29.00,77.00,46.80,7.57
19:54,10/03/2023,29.00,77.00,26.60,7.57
19:55,10/03/2023,29.00,76.00,44.99,7.57
19:56,10/04/2023,29.00,76.00,44.99,7.57
05:00,10/04/2023,29.00,76.00,44.99,7.57
05:05,10/04/2023,29.00,76.00,46.80,7.57
05:10,10/04/2023,29.00,76.00,44.99,7.57
05:15,10/04/2023,29.00,76.00,24.73,7.57
05:20,10/04/2023,29.00,77.00,46.80,7.57
05:25,10/04/2023,29.00,77.00,26.60,7.57
05:30,10/04/2023,29.00,77.00,26.60,7.57
05:35,10/04/2023,29.00,78.00,46.80,7.57
05:40,10/04/2023,29.00,78.00,48.61,7.57
05:45,10/04/2023,29.00,79.00,46.80,7.57
05:50,10/04/2023,29.00,78.00,26.60,7.57
05:55,10/04/2023,29.00,78.00,46.80,7.57
06:00,10/04/2023,29.00,79.00,46.80,7.57
20:10,10/04/2023,29.00,78.00,46.80,7.57
20:11,10/04/2023,29.00,78.00,46.80,7.57
20:12,10/04/2023,29.00,78.00,46.80,7.57
20:13,10/04/2023,29.00,78.00,46.80,7.57
20:14,10/04/2023,29.00,78.00,26.60,7.57
20:15,10/05/2023,29.00,77.00,26.60,7.57
20:16,10/05/2023,29.00,78.00,46.80,7.57
20:17,10/05/2023,29.00,77.00,46.80,7.57
20:18,10/05/2023,29.00,77.00,46.80,7.57
20:19,10/05/2023,29.00,77.00,44.99,7.57
20:20,10/06/2023,29.00,76.00,26.60,7.58
20:21,10/06/2023,29.00,76.00,46.80,7.58
20:22,10/06/2023,29.00,76.00,46.80,7.57
20:23,10/06/2023,29.00,76.00,26.60,7.59
20:24,10/06/2023,29.00,76.00,46.80,7.58
20:25,10/06/2023,29.00,76.00,46.80,7.57
20:26,10/06/2023,29.00,76.00,46.80,7.59
20:27,10/06/2023,29.00,76.00,46.80,7.59
20:28,10/06/2023,29.00,76.00,46.80,7.60
20:29,10/06/2023,29.00,76.00,48.61,7.58
20:30,10/06/2023,29.00,76.00,46.80,7.60
20:31,10/06/2023,29.00,76.00,28.46,7.59
20:32,10/06/2023,29.00,76.00,44.99,7.60
20:33,10/06/2023,29.00,75.00,46.80,7.58
